name,city,county,area,enrollment,championship_group,division_area,source,old_class,program_id,private,source_territory,notes
Black Springs,Black Springs,Antler,Alderwold,700.0,4A,JHSAA,activation,4A,EXP-N003,0,,
Barlowe County High,Bench Head,Barlowe,Halbrook Basin,520.0,4A,JHSAA,activation,3A,EXP-N001,0,,
Charleston-on-the-Coast,Bahía Azúl,Weller,Selquah,504.0,3A,JHSAA,activation,3A,EXP-N015,0,,donor-name school placed in coastal Bahía Azúl
Norbrook,Norbrook,Juniper,Juniper Highlands,489.0,3A,JHSAA,activation,3A,EXP-N024,0,,
Tidelands Union,Tindall Spur,Ostrander,Sebastian Cape,473.0,3A,JHSAA,activation,3A,EXP-N025,0,,
Mountain House,Sage Springs,Sablewood,Gold Valley,458.0,3A,JHSAA,activation,3A,EXP-N034,0,,
Bardsley County High,Sutter Reach,Bardsley,Yarrowmere,442.0,3A,JHSAA,activation,3A,EXP-N037,0,,
Corliss Regional,Corliss,Kernwood,Yarrowmere,427.0,3A,JHSAA,activation,3A,EXP-N039,0,,
Olivet Regional,Garrow Switch,Olivet,Yarrowmere,411.0,3A,JHSAA,activation,3A,EXP-N040,0,,
Shiloh,Shiloh,Paddock,Yarrowmere,396.0,3A,JHSAA,activation,3A,EXP-N042,0,,
Tunnelwood,Tunnelwood,Featherstone,Southern Jefferson,380.0,3A,JHSAA,activation,3A,EXP-N048,0,,
Willow Gate,Garrow Depot,Barlowe,Halbrook Basin,340.0,2A,JHSAA,activation,2A,EXP-N002,0,,
Kendrickville,Kendrickville,Antler,Alderwold,334.0,2A,JHSAA,activation,2A,EXP-N004,0,,
Antler County High,Purcell Crossing,Antler,Alderwold,327.0,2A,JHSAA,activation,2A,EXP-N005,0,,Purcell Crossing slot; replaces Timber Exchange proposal
Salmonberry Glen,Salmonberry Glen,Antler,Alderwold,321.0,2A,JHSAA,activation,2A,EXP-N008,0,,
North Antler Regional,Alderwell,Antler,Alderwold,314.0,2A,JHSAA,activation,2A,EXP-N009,0,,
Elk Run,Camas Crossing,Antler,Alderwold,308.0,2A,JHSAA,activation,2A,EXP-N010,0,,Camas Crossing slot; public school name changed
South Fork,Ansotegui,Antler,Alderwold,301.0,2A,JHSAA,activation,2A,EXP-N011,0,,Ansotegui slot; public school name changed
Naylor City,Naylor City,Cinder,Cascade Divide,295.0,2A,JHSAA,activation,2A,EXP-N017,0,,
Farleymere,Farleymere,Juniper,Juniper Highlands,288.0,2A,JHSAA,activation,2A,EXP-N023,0,,
Fogline,Camas Ridge,San Marcos,Sebastian Cape,282.0,2A,JHSAA,activation,2A,EXP-N027,0,,Camas Ridge slot; public school name changed
San Benicio Regional,San Benicio,San Marcos,Sebastian Cape,275.0,2A,JHSAA,activation,2A,EXP-N028,0,,
Pasquale,Pasquale,Sablewood,Gold Valley,269.0,2A,JHSAA,activation,2A,EXP-N033,0,,
Sutter Basin,Sutter Basin,Bardsley,Yarrowmere,262.0,2A,JHSAA,activation,2A,EXP-N038,0,,
Prune Siding,Prune Siding,Olivet,Yarrowmere,256.0,2A,JHSAA,activation,2A,EXP-N041,0,,
Zion Hill,Zion Hill,Paddock,Yarrowmere,249.0,2A,JHSAA,activation,2A,EXP-N043,0,,
Canaan Bend,Canaan Bend,Paddock,Yarrowmere,243.0,2A,JHSAA,activation,2A,EXP-N044,0,,
Featherton,Featherton,Featherstone,Southern Jefferson,236.0,2A,JHSAA,activation,2A,EXP-N049,0,,
Tailing Crossing,Tailing Crossing,Goldbank,Southern Jefferson,230.0,2A,JHSAA,activation,2A,EXP-N051,0,,
Harmon Siding,Harmon Siding,Antler,Alderwold,210.0,2A,JHSAA,activation,1A,EXP-N006,0,,
Pellmont,Pellmont,Antler,Alderwold,205.0,1A,JHSAA,activation,1A,EXP-N007,0,,
High Timber,Annes Summits Landing,Antler,Alderwold,199.0,1A,JHSAA,activation,1A,EXP-N012,0,,
Flume,Flume,Antler,Alderwold,194.0,1A,JHSAA,activation,1A,EXP-N013,0,,
Aspen Spur Union,Aspen Spur,Antler,Alderwold,188.0,1A,JHSAA,activation,1A,EXP-N014,0,,
Pellford,Pellford,Weller,Selquah,183.0,1A,JHSAA,activation,1A,EXP-N016,0,,
Pine Rim,Sage Spur,Cinder,Cascade Divide,177.0,1A,JHSAA,activation,1A,EXP-N018,0,,
Ransom City Union,Ransom,Tamarack,Cascade Divide,172.0,1A,JHSAA,activation,1A,EXP-N019,0,,
Juniper Bar,Juniper Bar,Tamarack,Cascade Divide,166.0,1A,JHSAA,activation,1A,EXP-N020,0,,
Alderton,Alderton,Tamarack,Cascade Divide,161.0,1A,JHSAA,activation,1A,EXP-N021,0,,
Copperton Regional,Copperton,Tamarack,Cascade Divide,155.0,1A,JHSAA,activation,1A,EXP-N022,0,,
Punta del Águila,Punta del Águila,San Marcos,Sebastian Cape,150.0,1A,JHSAA,activation,1A,EXP-N026,0,,
Coast Prairie,Alder Flat,San Marcos,Sebastian Cape,144.0,1A,JHSAA,activation,1A,EXP-N029,0,,
Velasco,Velasco,Ferris,Gold Valley,139.0,1A,JHSAA,activation,1A,EXP-N030,0,,
Trinity Fork,Ansoteguiville,Ferris,Gold Valley,133.0,1A,JHSAA,activation,1A,EXP-N031,0,,Ansoteguiville slot; public school name changed
McCrory,McCrory,Sablewood,Gold Valley,128.0,1A,JHSAA,activation,1A,EXP-N032,0,,
Carverstead,Carverstead,Sablewood,Gold Valley,122.0,1A,JHSAA,activation,1A,EXP-N035,0,,
Odellville,Odellville,Sablewood,Gold Valley,117.0,1A,JHSAA,activation,1A,EXP-N036,0,,
Beulah Landing,Beulah Landing,Paddock,Yarrowmere,111.0,1A,JHSAA,activation,1A,EXP-N045,0,,
Free Hill,Free Hill,Paddock,Yarrowmere,106.0,1A,JHSAA,activation,1A,EXP-N046,0,,
Promise Land,Promise Land,Paddock,Yarrowmere,100.0,1A,JHSAA,activation,1A,EXP-N047,0,,
Sierra Works,Caverlyville,Featherstone,Southern Jefferson,95.0,1A,JHSAA,activation,1A,EXP-N050,0,,
Utah,Logan,Wellsville,Bear River Country,1800.0,Division 1,Great Basin,new_territory,,EXP-GC19,0,"Cache County, Utah",
Vermillion,Elko,Ruby,Silver Basin,1650.0,Division 1,Great Basin,new_territory,,EXP-GC01,0,"Elko County, Nevada",
Rio San Juan,Evanston,Bridger,Bear River Country,1550.0,Division 1,Great Basin,new_territory,,EXP-GC28,0,"Uinta County, Wyoming",
South Wheeler,Burley,Raft,Snake River Plain,1500.0,Division 1,Great Basin,new_territory,,EXP-GC07,0,"Cassia County, Idaho",
Idaho Valley,Jerome,Eden,Snake River Plain,1450.0,Division 1,Great Basin,new_territory,,EXP-GC04,0,"Jerome County, Idaho",
Irvington,Preston,Cub River,Bear River Country,1380.0,Division 1,Great Basin,new_territory,,EXP-GC13,0,"Franklin County, Idaho",
West Oberlin,Smithfield,Wellsville,Bear River Country,1250.0,Division 1,Great Basin,new_territory,,EXP-GC20,0,"Cache County, Utah",
Cincinnati,Malad City,Malad,Bear River Country,1200.0,Division 1,Great Basin,new_territory,,EXP-GC10,0,"Oneida County, Idaho",
Atlanta,Wells,Ruby,Silver Basin,1100.0,Division 1,Great Basin,new_territory,,EXP-GC02,0,"Elko County, Nevada",
Wyoming Valley,Montpelier,Beargrass,Bear River Country,1020.0,Division 1,Great Basin,new_territory,,EXP-GC16,0,"Bear Lake County, Idaho",
Star Valley Regional,Kemmerer,Star Valley,Bear River Country,1000.0,Division 1,Great Basin,new_territory,,EXP-GC25,0,"Lincoln County, Wyoming",
Stagewater County High,Cordero Wells,Stagewater,Kangas,980.0,Division 1,Great Basin,activation,,EXP-GA03,0,,
Burdensome,Garden City,Laketown,Bear River Country,950.0,Division 1,Great Basin,new_territory,,EXP-GC22,0,"Rich County, Utah",
New Baltimore,Oakley,Raft,Snake River Plain,930.0,Division 1,Great Basin,new_territory,,EXP-GC08,0,"Cassia County, Idaho",
San Vito Regional,San Vito,Emigrant,Kangas,920.0,Division 1,Great Basin,activation,,EXP-GA01,0,,
Bridger Regional,Lyman,Bridger,Bear River Country,900.0,Division 1,Great Basin,new_territory,,EXP-GC29,0,"Uinta County, Wyoming",
Dawkins,Franklin,Cub River,Bear River Country,900.0,Division 1,Great Basin,new_territory,,EXP-GC14,0,"Franklin County, Idaho",
Lodestone County High,Wellers Landing,Lodestone,Millersylvania,900.0,Division 1,Great Basin,activation,,EXP-GA08,0,,
Bonds,Malad City,Malad,Bear River Country,880.0,Division 1,Great Basin,new_territory,,EXP-GC11,0,"Oneida County, Idaho",
Sluice Valley,Sage Junction,Stagewater,Kangas,870.0,Division 1,Great Basin,activation,,EXP-GA07,0,,Sage Junction slot; school renamed to avoid another Sage-name school
Mirage Siding Regional,Mirage Siding,Scheelite,Millersylvania,860.0,Division 1,Great Basin,activation,,EXP-GA10,0,,
Wellsville County Catholic,Hyrum,Wellsville,Bear River Country,780.0,Division 2,Great Basin,new_territory,,EXP-GC21,1,"Cache County, Utah",
Pierre,Hazelton,Eden,Snake River Plain,720.0,Division 2,Great Basin,new_territory,,EXP-GC05,0,"Jerome County, Idaho",
Chicago Island,Alpine,Star Valley,Bear River Country,650.0,Division 2,Great Basin,new_territory,,EXP-GC26,0,"Lincoln County, Wyoming",
Ruby County Catholic,Carlin,Ruby,Silver Basin,620.0,Division 2,Great Basin,new_territory,,EXP-GC03,1,"Elko County, Nevada",
Jean Baptiste,Paris,Beargrass,Bear River Country,610.0,Division 2,Great Basin,new_territory,,EXP-GC17,0,"Bear Lake County, Idaho",
Laketown Regional,Randolph,Laketown,Bear River Country,540.0,Division 2,Great Basin,new_territory,,EXP-GC23,0,"Rich County, Utah",
