name,city,county,area,enrollment,championship_group,division_area,source,old_class,program_id,private,source_territory,notes
Talladega,San Borondón,San Marcos,Sebastian Cape,2597.0,9A,JHSAA,current,9A,Elena Petrov|girls,0,,
Rogue Valley Packing,Bahía Leal,San Marcos,Sebastian Cape,2594.0,9A,JHSAA,current,9A,James Gaines|girls,0,,
Sandra Day O'Connor,Belmonte,Halbrook,Halbrook Basin,2592.0,9A,JHSAA,current,9A,Iker Aramburu|girls,0,,
Jesuit,Mercer City,Ferris,Gold Valley,2586.0,9A,JHSAA,current,9A,Astrid Ricci|girls,1,,
Arroyo Seco,Serrano,Halbrook,Halbrook Basin,2583.0,9A,JHSAA,current,9A,Serrano Applied Sciences Institute|girls,0,,
Canal View,Orellana,Vance,Halbrook Basin,2578.0,9A,JHSAA,current,9A,Orellana Canal View|girls,0,,
Seafarer,Port Veles,Bidwell,Selquah,2573.0,9A,JHSAA,current,9A,Seafarer High|girls,0,,
Mar Vista,San Cordero,Tamarack,Cascade Divide,2565.0,9A,JHSAA,current,9A,Anya Antonov|girls,0,,
Purcell,Purcell,Marlow,Ashbury Metro,2564.0,9A,JHSAA,current,9A,Purcell|girls,0,,
I-50 Tech,Belmonte,Halbrook,Halbrook Basin,2550.0,9A,JHSAA,current,9A,I-50 Technical|girls,0,,
Southridge Christian,Ashbury,Marlow,Ashbury Metro,2550.0,9A,JHSAA,current,9A,Southridge Christian|girls,1,,
Treasure Valley,Orellana,Vance,Halbrook Basin,2547.0,9A,JHSAA,current,9A,Orellana Treasure Valley|girls,0,,
Grande-Savane Arts,Belyakov,Vance,Halbrook Basin,2546.0,9A,JHSAA,current,9A,Belyakov School of Design and Engineering|girls,0,,
Bernal Heights,Montelago,Ferris,Gold Valley,2545.0,9A,JHSAA,current,9A,Lars Bellini|girls,0,,
Bayard Rustin,Belyakov,Vance,Halbrook Basin,2537.0,9A,JHSAA,current,9A,Bayard Rustin|girls,0,,
Notre Dame,Boyerstown,Marlow,Ashbury Metro,2531.0,9A,JHSAA,current,9A,Oskar Bellini|girls,1,,
Ferris,Valderra,Ferris,Gold Valley,2527.0,9A,JHSAA,current,9A,Carmen Valera|girls,0,,
Hayes Valley,Orellana,Vance,Halbrook Basin,2524.0,9A,JHSAA,current,9A,Lev Kareva|girls,0,,
James K. Polk,Orellana,Vance,Halbrook Basin,2516.0,9A,JHSAA,current,9A,Katherine Booker|girls,0,,
Kinnickinny,Belmonte,Halbrook,Halbrook Basin,2509.0,9A,JHSAA,current,9A,River Plain|girls,0,,
Potrero Hill,Belmonte,Halbrook,Halbrook Basin,2491.0,9A,JHSAA,current,9A,Leire Garmendia|girls,0,,
Laurel Park,Ashbury,Marlow,Ashbury Metro,2481.0,9A,JHSAA,current,9A,Ashbury West|girls,0,,
Tuskegee,San Borondón,San Marcos,Sebastian Cape,2480.0,9A,JHSAA,current,9A,Harold Williams|girls,0,,
Tamarack,San Cordero,Tamarack,Cascade Divide,2475.0,9A,JHSAA,current,9A,Svenja Bianchi|girls,0,,
Housatonic,Bahía Leal,San Marcos,Sebastian Cape,2474.0,9A,JHSAA,current,9A,Housatonic HS|girls,0,,
Veles Vo-Tech,Port Veles,Bidwell,Selquah,2458.0,9A,JHSAA,current,9A,Port Veles Maritime Academy|girls,0,,
Mesa Verde,San Cordero,Tamarack,Cascade Divide,2453.0,9A,JHSAA,current,9A,San Cordero School of Commerce|girls,0,,
