program_id,program_name,gender,championship_group,rank,coefficient,trend,season_points,seasons_of_history,bootstrap,as_of_world_year,window_world_years,breakdown_json,class_rank,record,state_finish,state_champion,rank_gap
Calvary Chapel Olivet|boys,Banfield Day,boys,1A,1,137.9,1.4000000000000057,17.0,60,0,59,59 58 57 56 55 54 53 52 51,"[[59, 17.0, 1.0], [58, 27.0, 1.0], [57, 39.0, 1.0], [56, 39.0, 0.6], [55, 39.0, 0.6], [54, 10.0, 0.6], [53, 0.0, 0.3], [52, 4.0, 0.3], [51, 3.0, 0.3]]",1,26-1,Quarterfinalist,0,0
Calvary Chapel Ditch Fork|boys,Cassius,boys,1A,2,135.2,24.299999999999983,39.0,60,0,59,59 58 57 56 55 54 53 52 51,"[[59, 39.0, 1.0], [58, 24.0, 1.0], [57, 26.0, 1.0], [56, 24.0, 0.6], [55, 24.0, 0.6], [54, 17.0, 0.6], [53, 17.0, 0.3], [52, 7.0, 0.3], [51, 0.0, 0.3]]",2,32-1,Champion,1,0
Elmburg|boys,Mt Jacqueline,boys,1A,3,104.2,-10.800000000000011,0.0,60,0,59,59 58 57 56 55 54 53 52 51,"[[59, 0.0, 1.0], [58, 39.0, 1.0], [57, 25.0, 1.0], [56, 27.0, 0.6], [55, 16.0, 0.6], [54, 24.0, 0.6], [53, 0.0, 0.3], [52, 0.0, 0.3], [51, 0.0, 0.3]]",49,10-17,Wards,0,-46
Alderfield|boys,Linden,boys,1A,4,100.0,-4.800000000000011,10.0,60,0,59,59 58 57 56 55 54 53 52 51,"[[59, 10.0, 1.0], [58, 11.0, 1.0], [57, 10.0, 1.0], [56, 16.0, 0.6], [55, 27.0, 0.6], [54, 39.0, 0.6], [53, 17.0, 0.3], [52, 38.0, 0.3], [51, 11.0, 0.3]]",4,23-4,Octofinalist,0,0
Barley Gap|boys,Barley Gap,boys,1A,5,87.5,-11.5,0.0,60,0,59,59 58 57 56 55 54 53 52 51,"[[59, 0.0, 1.0], [58, 25.0, 1.0], [57, 25.0, 1.0], [56, 25.0, 0.6], [55, 17.0, 0.6], [54, 10.0, 0.6], [53, 4.0, 0.3], [52, 17.0, 0.3], [51, 0.0, 0.3]]",58,6-13,Areas,0,-53
Los Remolinos|boys,Los Remolinos,boys,1A,6,84.3,21.099999999999994,27.0,60,0,59,59 58 57 56 55 54 53 52 51,"[[59, 27.0, 1.0], [58, 16.0, 1.0], [57, 11.0, 1.0], [56, 11.0, 0.6], [55, 25.0, 0.6], [54, 10.0, 0.6], [53, 0.0, 0.3], [52, 0.0, 0.3], [51, 9.0, 0.3]]",7,31-3,Finalist,0,-1
Coastal Christian|boys,Coastal Christian,boys,1A,7,74.3,16.4,24.0,60,0,59,59 58 57 56 55 54 53 52 51,"[[59, 24.0, 1.0], [58, 16.0, 1.0], [57, 7.0, 1.0], [56, 19.0, 0.6], [55, 10.0, 0.6], [54, 11.0, 0.6], [53, 0.0, 0.3], [52, 0.0, 0.3], [51, 11.0, 0.3]]",5,29-6,Semifinalist,0,2
Silton Union|boys,Silton Ridge,boys,1A,8,67.8,21.4,25.0,60,0,59,59 58 57 56 55 54 53 52 51,"[[59, 25.0, 1.0], [58, 16.0, 1.0], [57, 16.0, 1.0], [56, 9.0, 0.6], [55, 8.0, 0.6], [54, 1.0, 0.6], [53, 0.0, 0.3], [52, 0.0, 0.3], [51, 0.0, 0.3]]",6,30-3,Semifinalist,0,2
Archbishop Quinlan|boys,Quaking Aspen,boys,1A,9,66.6,8.599999999999994,16.0,60,0,59,59 58 57 56 55 54 53 52 51,"[[59, 16.0, 1.0], [58, 10.0, 1.0], [57, 10.0, 1.0], [56, 11.0, 0.6], [55, 10.0, 0.6], [54, 25.0, 0.6], [53, 10.0, 0.3], [52, 0.0, 0.3], [51, 0.0, 0.3]]",8,26-6,Quarterfinalist,0,1
Bidwell|boys,Bidwell,boys,1A,10,65.5,7.200000000000003,16.0,60,0,59,59 58 57 56 55 54 53 52 51,"[[59, 16.0, 1.0], [58, 17.0, 1.0], [57, 10.0, 1.0], [56, 16.0, 0.6], [55, 10.0, 0.6], [54, 11.0, 0.6], [53, 0.0, 0.3], [52, 1.0, 0.3], [51, 0.0, 0.3]]",9,23-5,Quarterfinalist,0,1
