program_id,gender,2083,2086,change,program_name,group
Abbey Vale Orchard Hill|boys,boys,41,38,3,B.T. Washington,2A
Abbey Vale Orchard Hill|girls,girls,28,54,-26,B.T. Washington,2A
Abraham Lincoln|boys,boys,28,32,-4,Lincoln,8A
Abraham Lincoln|girls,girls,26,59,-33,Lincoln,8A
Adela Robles North|boys,boys,5,20,-15,Cliffside,9A
Adela Robles North|girls,girls,8,17,-9,Cliffside,9A
Adela Robles|boys,boys,9,6,3,Biloxi Heights,4A
Adela Robles|girls,girls,5,2,3,Biloxi Heights,4A
Adela Villaseñor|boys,boys,29,28,1,Cape Jean,7A
Adela Villaseñor|girls,girls,29,34,-5,Cape Jean,7A
Adrian High|boys,boys,54,42,12,Adrian,1A
Adrian High|girls,girls,54,24,30,Adrian,1A
Agate|boys,boys,54,45,9,Agate,Group 3
Agate|girls,girls,37,66,-29,Agate,Group 3
Ainhoa Mendizabal|boys,boys,36,27,9,Charles Harbor,Group 1
Ainhoa Mendizabal|girls,girls,38,28,10,Charles Harbor,Group 1
Aitor Echevarria|boys,boys,38,15,23,Point Loma,Group 1
Aitor Echevarria|girls,girls,16,7,9,Point Loma,Group 1
Aitor Zubieta|boys,boys,68,51,17,Borough Beach,8A
Aitor Zubieta|girls,girls,56,69,-13,Borough Beach,8A
Alben Barkley|boys,boys,25,42,-17,Barkley,2A
Alben Barkley|girls,girls,41,35,6,Barkley,2A
Aldecoa Academy of Arts and Letters|boys,boys,67,47,20,Coyote Springs,Group 1
Aldecoa Academy of Arts and Letters|girls,girls,75,64,11,Coyote Springs,Group 1
Aldecoa Applied Sciences Institute|boys,boys,9,22,-13,Deadwood,Group 1
Aldecoa Applied Sciences Institute|girls,girls,7,22,-15,Deadwood,Group 1
Aldecoa Depot High|boys,boys,1,3,-2,Grant,Group 1
Aldecoa Depot High|girls,girls,9,6,3,Grant,Group 1
Aldecoa|boys,boys,16,65,-49,Aldecoa,Group 1
Aldecoa|girls,girls,13,54,-41,Aldecoa,Group 1
Alder Landing Beacon Hill|boys,boys,7,31,-24,Bay Oregon,3A
Alder Landing Beacon Hill|girls,girls,3,29,-26,Bay Oregon,3A
Alderfield|boys,boys,4,4,0,Linden,1A
Alderfield|girls,girls,8,16,-8,Linden,1A
Aldermont|boys,boys,8,22,-14,Cape Angeles,2A
Aldermont|girls,girls,13,8,5,Cape Angeles,2A
Alderton|boys,boys,74,59,15,Alderton,1A
Alderton|girls,girls,63,61,2,Alderton,1A
Alejandro Zamora|boys,boys,12,6,6,Morgan Park,9A
Alejandro Zamora|girls,girls,4,1,3,Morgan Park,9A
Alina Antonov|boys,boys,83,69,14,River Oaks,8A
Alina Antonov|girls,girls,84,81,3,River Oaks,8A
Alina Belov|boys,boys,49,40,9,Clear Lake,Group 2
Alina Belov|girls,girls,59,51,8,Clear Lake,Group 2
All Saints Episcopal|boys,boys,20,14,6,All Saints Episcopal,3A
All Saints Episcopal|girls,girls,23,15,8,All Saints Episcopal,3A
Altamonte Civic Leadership Academy|boys,boys,7,65,-58,Senator Gray,8A
Altamonte Civic Leadership Academy|girls,girls,6,56,-50,Senator Gray,8A
Altamonte|boys,boys,74,53,21,Altamonte,8A
Altamonte|girls,girls,35,58,-23,Altamonte,8A
Amaia Aramburu North|boys,boys,41,72,-31,Belmonte South,1A
Amaia Aramburu North|girls,girls,56,49,7,Belmonte South,1A
Amaia Aramburu|boys,boys,49,64,-15,K.B. Jackson,5A
Amaia Aramburu|girls,girls,53,58,-5,K.B. Jackson,5A
Amaia Echevarria|boys,boys,66,52,14,Redwood,Group 1
Amaia Echevarria|girls,girls,30,53,-23,Redwood,Group 1
Amaia Etxeberria|boys,boys,47,6,41,Boyle Heights,Group 1
